Downloaded on,"5/28/2026","2:34:16 PM"
Url,"https://www.congress.gov/votes/house/119-1/317"
Result,"Passed - Yea: 216 | Nay: 210 (R 216-0 Pres=0 NV=4, D 0-210 Pres=0 NV=3, I 0-0 Pres=0 NV=0)"

Representative,Party,State,Vote
"Adams, Alma S. [D-NC]",Democratic,North Carolina,Nay,
"Aderholt, Robert B. [R-AL]",Republican,Alabama,Yea,
"Aguilar, Pete [D-CA]",Democratic,California,Nay,
"Alford, Mark [R-MO]",Republican,Missouri,Yea,
"Allen, Rick W. [R-GA]",Republican,Georgia,Yea,
"Amo, Gabe [D-RI]",Democratic,Rhode Island,Nay,
"Amodei, Mark E. [R-NV]",Republican,Nevada,Yea,
"Ansari, Yassamin [D-AZ]",Democratic,Arizona,Nay,
"Arrington, Jodey C. [R-TX]",Republican,Texas,Yea,
"Auchincloss, Jake [D-MA]",Democratic,Massachusetts,Nay,
"Babin, Brian [R-TX]",Republican,Texas,Yea,
"Bacon, Don [R-NE]",Republican,Nebraska,Yea,
"Baird, James R. [R-IN]",Republican,Indiana,Yea,
"Balderson, Troy [R-OH]",Republican,Ohio,Yea,
"Balint, Becca [D-VT]",Democratic,Vermont,Nay,
"Barr, Andy [R-KY]",Republican,Kentucky,Yea,
"Barragán, Nanette Diaz [D-CA]",Democratic,California,Nay,
"Barrett, Tom [R-MI]",Republican,Michigan,Yea,
"Baumgartner, Michael [R-WA]",Republican,Washington,Yea,
"Bean, Aaron [R-FL]",Republican,Florida,Yea,
"Beatty, Joyce [D-OH]",Democratic,Ohio,Nay,
"Begich, Nicholas J. [R-AK]",Republican,Alaska,Yea,
"Bell, Wesley [D-MO]",Democratic,Missouri,Nay,
"Bentz, Cliff [R-OR]",Republican,Oregon,Yea,
"Bera, Ami [D-CA]",Democratic,California,Nay,
"Bergman, Jack [R-MI]",Republican,Michigan,Yea,
"Beyer, Donald S. [D-VA]",Democratic,Virginia,Nay,
"Bice, Stephanie I. [R-OK]",Republican,Oklahoma,Yea,
"Biggs, Andy [R-AZ]",Republican,Arizona,Yea,
"Biggs, Sheri [R-SC]",Republican,South Carolina,Yea,
"Bilirakis, Gus M. [R-FL]",Republican,Florida,Yea,
"Bishop, Sanford D. [D-GA]",Democratic,Georgia,Nay,
